Topic,2010,2011,2012,2013,2014,2015,2016
Software Configuration Management,0,0,0,0,1,1,1
RC Cars,0,0,0,0,1,1,1
Artificial Intelligence Applications,0,0,0,0,0,2,4
Google SEO,0,0,0,0,2,2,2
Spark,0,0,0,0,0,1,1
AWS design implementation and servicing,0,0,0,0,1,1,1
Blogging,0,0,0,0,3,5,5
Scala Play Framework,0,0,0,0,1,1,1
Apache Kafka,0,0,0,0,0,0,2
Digital Marketing Professionals,0,0,0,0,1,1,1
"Women ""StartUp"" Entrepreneurs",0,0,0,0,1,2,2
Makerspaces,0,0,0,2,5,6,7
Usability testing,0,0,0,0,1,1,1
VR Glasses,0,0,0,0,0,0,1
Smartphone,0,0,0,0,1,1,1
Blackberry,0,0,0,0,1,1,1
3D Artists,0,0,0,0,1,1,1
Entreprenuers,0,0,0,0,1,1,1
Cognos,0,0,0,0,0,1,1
Python,0,0,0,0,3,6,8
Apple,0,0,0,0,1,1,1
Meeting People that Make a Difference,0,0,0,0,1,1,1
Digital Marketing Strategy,0,0,0,0,2,2,2
Community,0,0,0,0,1,1,1
Machine Learning,0,0,0,1,9,17,20
Functional Programming in Python,0,0,0,0,1,1,1
IT Professionals,0,0,0,0,5,5,5
WordPress,0,0,0,1,3,6,7
Linux,0,1,1,1,6,8,8
Platform Evangelism,0,0,0,0,0,1,1
Mobile App,0,0,0,0,0,1,1
Learn SEO Basics,0,0,0,0,2,2,2
Blender,0,0,0,0,1,1,1
J2EE,0,0,0,0,1,1,1
CISSP,0,0,0,0,1,1,1
entrepreneur matchmaking,0,0,0,0,1,1,1
Oracle Big Data Appliance,0,0,0,0,0,0,1
Professional Networking,1,1,2,2,5,8,8
Freelance Content Writers,0,0,0,0,0,1,1
Oracle APEX Development,0,0,0,0,0,0,1
Network Architecture,0,0,0,0,0,1,1
Microsoft Office 365 public cloud-based technology,0,0,0,0,0,1,1
WordPress Users,0,0,0,1,2,2,2
GraphLab,0,0,0,0,0,0,1
Electrical Engineering,0,0,0,0,1,1,1
Elixir Programming,0,0,0,0,0,1,1
R Users Group,0,0,0,1,1,1,1
eCommerce Marketing,0,0,0,0,2,3,3
Digital Media,0,0,0,0,1,1,1
Scaled Agile Framework (SAFe),0,0,0,0,0,0,1
Python Web Development,0,0,0,0,1,2,3
Entrepreneurs & Network Marketers Connecting,0,0,0,0,1,1,1
Rich Internet Applications,0,1,1,1,1,1,1
High Scalability Computing,0,0,1,3,4,7,8
Usability,0,0,0,1,5,5,5
FPGA,0,0,0,0,1,1,1
Experience Design,0,0,0,0,1,1,1
Startup Businesses,1,2,4,5,13,21,24
Joomla,0,0,0,0,1,1,1
Dan Kennedy Style Marketing,0,0,0,0,1,1,1
Mixed Reality,0,0,0,0,0,0,1
App Development,0,0,0,0,0,1,1
Wordpress Help,0,0,0,1,1,1,1
Aerial videography,0,0,0,0,2,2,2
Open source tools,0,0,0,0,1,1,1
Digital Marketing through Emerging Technologies,0,0,0,0,1,1,1
Smart Home,0,0,0,0,3,3,3
Internet Startup Idea Group,0,0,0,0,1,1,1
Drupal Mastering,0,1,1,1,1,1,1
Mobile Design,0,0,0,0,0,1,1
Amazon Simple Storage Service (Amazon S3),0,0,1,1,1,1,1
Zend Framework,0,0,0,0,2,2,2
Hobbies,0,0,0,0,0,1,1
Interaction Design,0,0,0,0,5,5,5
Women Entrepreneurs,0,0,1,1,3,6,7
Customer Feedback,0,0,0,0,1,1,1
Data Center and Operations Automation,0,0,0,0,3,4,4
Software QA and Testing,0,0,0,1,2,3,3
Windows Mobile,0,0,0,1,1,1,1
Science Technology Engineering Math,0,0,0,0,1,1,1
Perl,0,0,0,0,0,1,1
Mobile Game Development,0,0,0,0,0,1,1
Heroku,0,0,1,1,1,1,1
Advertising and marketing - digital and print,0,0,0,0,0,1,1
Natural Language Processing,0,0,0,0,0,0,1
Cloud Computing Security,0,0,0,0,1,1,1
C#.NET,0,0,0,0,1,1,1
indian startups,0,0,1,1,1,1,1
WordPress Training,0,0,0,1,1,2,2
JQuery,0,0,0,1,1,3,3
Kanban,0,0,0,0,0,2,3
Web Design,0,0,0,3,12,15,16
Play Framework,0,0,0,0,1,1,1
Make a difference,0,0,0,0,1,1,1
CEM,0,0,0,0,1,1,1
Apex Development,0,0,1,1,1,1,2
Ansible,0,0,0,0,1,2,2
Microsoft Access,0,0,0,0,1,1,1
Leveraging Big Data,0,0,0,0,1,3,3
Creative Design,0,0,0,0,1,1,1
Founder Institute,0,0,0,0,1,1,1
Indie Games,0,0,0,0,0,1,1
Oracle Weblogic,0,0,0,0,0,0,1
Computer Security,0,0,0,0,2,4,4
Independent Game Development,0,0,0,0,0,1,2
CSS,0,0,0,0,0,1,1
Quad Copters,0,0,0,0,1,1,1
Software Development,0,2,3,8,34,48,55
Wordpress Themes,0,0,0,1,3,4,5
Education,0,0,0,0,1,1,1
WordPress Small Business Web Sites,0,0,0,1,1,3,3
Big Data,0,0,1,4,19,32,40
ASP.NET,0,0,0,0,1,2,2
Money,0,0,0,1,1,2,2
Functional Programming,0,0,0,1,3,4,5
Bluetooth Low Energy,0,0,0,0,2,2,2
Smart City,0,0,0,0,1,1,1
Software Testing,0,0,0,1,2,3,3
Wearable Technologies,0,0,0,0,1,1,1
Hardware Hacks & Gadgeteering,0,0,0,1,1,1,1
Using MongoDB in the cloud,0,0,0,1,1,1,1
New Technology,0,1,3,6,27,38,44
Mobile User Experience,0,0,0,0,3,5,5
rapid prototyping,0,0,0,0,2,2,2
Amazon Web Services,0,0,1,2,4,4,5
Email Marketing (Ecommerce),0,0,0,0,0,1,1
Database Professionals,0,1,1,2,5,5,6
Arduino,0,0,0,1,4,5,6
Information Technology in Business,0,0,0,0,1,1,1
M2M Devices,0,0,0,0,3,3,3
Web Standards,0,0,0,1,1,1,1
ASP.NET MVC,0,0,0,0,1,2,2
Social Innovation,0,0,0,0,0,1,1
Medicine,0,0,0,0,0,1,1
co-founder,0,0,0,0,1,1,1
Mathematical Modelling,0,0,0,0,1,1,1
Hadoop Analytics,0,0,0,0,1,1,1
Explore: Agile Scrum XP Lean Kanban,0,0,0,0,0,0,1
Design Strategy,0,0,0,0,1,1,1
APIs,0,0,0,0,0,1,1
test,0,0,0,0,0,1,1
Ember JS,0,0,0,1,2,3,3
Axure RP Interactive Wireframing,0,0,0,0,1,1,1
Web Services,0,0,1,1,2,2,2
indian cofounders,0,0,1,1,1,1,1
Data,0,0,0,0,2,2,2
ITIL ITSM,0,0,0,0,1,1,1
DIY (Do It Yourself),0,0,0,1,4,6,7
Customer Satisfaction,0,0,0,0,1,1,1
Six Sigma,0,0,0,0,0,1,1
Developing Mobile Apps,0,0,0,0,0,1,1
Technology Innovation,0,0,0,0,0,1,1
Ruby On Rails,0,0,0,0,1,2,2
IOT hacking,0,0,0,0,2,2,2
Database Development,0,1,1,3,6,7,8
Computer programming,0,2,4,10,35,45,48
EC2,0,0,1,1,2,2,2
"Game Design, Game Modding, 3D Modeling",0,0,0,0,1,1,1
Oracle,0,0,0,0,0,0,1
Kx,0,0,0,0,0,1,1
Motion Graphics,0,0,0,0,2,2,2
Test Automation Frameworks,0,0,0,0,1,1,1
Affiliate Marketing,1,1,1,1,1,1,1
MongoDB,0,0,0,3,6,6,6
Statistical Computing,0,0,0,1,1,1,1
Programming Languages,0,0,0,0,6,6,6
Deep Learning,0,0,0,0,0,1,3
Agile Project Management,0,0,0,1,3,6,8
Objective C,0,0,0,1,2,3,3
Unix,0,0,0,0,1,1,1
Product Management,0,0,0,0,0,1,1
User experience design,0,0,0,0,3,3,3
Be the Change You Wish to See in the World,0,0,0,0,1,1,1
Cassandra,0,0,0,1,1,1,1
Knowledge Sharing,0,0,0,0,0,0,1
3D Animation,0,0,0,0,2,2,2
Healthcare Innovation,0,0,0,0,0,1,1
UI Design,0,0,0,0,4,5,5
Animation,0,0,0,0,1,1,1
Matlab,0,0,0,0,1,1,1
Copywriting,0,0,0,0,1,1,1
Decentralized Systems,0,0,0,0,0,1,1
iOS Game Development,0,0,0,0,1,1,1
Hacking together Art Design and Code,0,0,0,0,1,1,1
Internet of Things,0,0,0,0,6,7,9
Youth Mentoring,0,0,0,0,1,1,1
BlackBerry Application Development,0,0,0,0,1,1,1
Quadcopters,0,0,0,0,1,1,1
Online Marketing,1,1,2,2,11,13,14
Windows Azure Platform,0,0,0,0,1,2,2
Test Automation,0,0,0,1,2,3,3
Web Application,0,0,0,0,0,0,1
Stream Processing,0,0,0,0,0,0,1
Apache Apex,0,0,0,0,0,0,2
online,0,0,0,0,1,1,1
Gadget Lovers,0,0,0,1,1,1,1
Continuous Integration,0,0,0,0,1,1,1
Entrepreneur Networking,0,0,0,0,1,3,4
QA Professionals,0,0,0,0,1,1,1
Amazon Relational Database Service (Amazon RDS),0,0,1,1,1,1,1
WordPress for Business,0,0,0,1,1,3,3
Windows Phone Developers,0,0,0,1,1,1,1
System Administration,0,0,0,0,3,4,4
Multicopters,0,0,0,0,1,1,1
IaaS (Infrastructure as a Service),0,0,1,1,5,6,7
Pay Per Click,0,0,0,0,1,1,1
Writing for Blogs,0,0,0,0,1,1,1
Building an Online Business,0,0,0,0,1,2,2
Personal Achievement,0,0,0,0,0,1,1
Cryptocurrency,0,0,0,1,2,3,3
Woodworking,0,0,0,1,1,1,1
